"age","PrevCall","city","hour","gander","Period_type","topic"
22,4,"ariel","9:02","male","Normal_days","Disconnection"
39,4,"jatt","10:29","female","Summer_vacation","Service"
25,29,"hefa","18:19","male","Summer_vacation","joining"
44,10,"karmel","8:41","female","Summer_vacation","complaint"
33,16,"hefa","6:53","male","Holidays","Disconnection"
24,21,"hefa","20:05","female","Holidays","Service"
20,15,"jatt","7:57","male","Normal_days","joining"
27,22,"hedera","23:10","male","Summer_vacation","Disconnection"
41,10,"telaviv","3:12","male","Summer_vacation","Service"
42,25,"karmel","9:12","male","Holidays","joining"
22,17,"telaviv","9:57","male","Holidays","Service"
30,16,"jatt","16:30","female","Normal_days","Disconnection"
42,24,"hefa","4:47","female","Summer_vacation","joining"
49,28,"ntanya","23:08","male","Normal_days","Disconnection"
21,19,"karmel","20:48","female","Summer_vacation","complaint"
26,26,"ariel","2:39","female","Summer_vacation","Disconnection"
38,26,"qara","13:47","female","Normal_days","Disconnection"
35,27,"ntanya","16:50","male","Summer_vacation","Disconnection"
47,18,"hefa","11:44","female","Holidays","joining"
36,5,"ashklon","14:06","female","Holidays","Disconnection"
39,14,"hedera","23:22","female","Summer_vacation","Disconnection"
34,12,"ariel","1:29","female","Holidays","Service"
23,20,"karmel","6:33","male","Normal_days","complaint"
33,12,"bat-yam","0:45","female","Normal_days","Disconnection"
22,22,"jatt","17:22","male","Normal_days","joining"
33,26,"karmel","5:20","female","Summer_vacation","joining"
36,29,"bat-yam","7:04","female","Holidays","Disconnection"
44,9,"ntanya","16:53","male","Normal_days","Service"
39,2,"ntanya","0:49","female","Normal_days","complaint"
35,20,"jatt","21:27","female","Normal_days","Service"
34,22,"ariel","23:02","male","Holidays","joining"
41,28,"ashdod","16:59","male","Normal_days","joining"
47,15,"ashdod","9:10","female","Normal_days","complaint"
20,3,"hedera","22:47","male","Holidays","complaint"
48,4,"karmel","0:26","male","Summer_vacation","joining"
40,13,"karmel","14:33","female","Normal_days","complaint"
40,4,"hefa","1:07","female","Summer_vacation","joining"
29,9,"ntanya","5:33","male","Summer_vacation","Disconnection"
28,3,"jatt","5:15","female","Summer_vacation","complaint"
43,24,"bat-yam","10:08","male","Summer_vacation","Disconnection"
48,30,"bat-yam","6:24","male","Summer_vacation","Disconnection"
30,17,"bat-yam","11:13","female","Holidays","complaint"
48,19,"hedera","4:18","male","Normal_days","Disconnection"
21,15,"jatt","12:28","female","Normal_days","complaint"
47,14,"jatt","21:41","female","Holidays","complaint"
32,17,"hedera","18:52","male","Holidays","Disconnection"
23,21,"hefa","21:17","male","Normal_days","Service"
43,26,"ashdod","6:42","male","Holidays","complaint"
40,3,"bat-yam","9:27","male","Summer_vacation","joining"
36,14,"ashdod","5:48","female","Normal_days","joining"
24,14,"ntanya","4:29","male","Holidays","Disconnection"
37,7,"qara","14:14","male","Holidays","Service"
21,14,"bat-yam","16:27","male","Holidays","joining"
21,20,"hefa","3:01","female","Summer_vacation","joining"
44,9,"bat-yam","19:19","male","Normal_days","joining"
48,5,"hefa","5:03","female","Holidays","joining"
30,11,"ariel","9:07","female","Summer_vacation","joining"
38,18,"ashdod","2:51","male","Summer_vacation","Disconnection"
28,19,"ntanya","11:41","female","Summer_vacation","Service"
44,6,"jatt","15:14","male","Holidays","Service"
27,15,"ashdod","6:10","male","Summer_vacation","complaint"
28,8,"hefa","3:28","female","Normal_days","joining"
32,5,"jatt","6:15","female","Holidays","Service"
49,12,"ariel","2:57","male","Normal_days","Service"
27,21,"hefa","12:53","male","Normal_days","Disconnection"
32,12,"ntanya","19:42","female","Holidays","Disconnection"
42,5,"bat-yam","18:58","female","Summer_vacation","Service"
32,27,"telaviv","19:56","male","Normal_days","Disconnection"
22,14,"bat-yam","8:32","female","Holidays","complaint"
24,28,"ashdod","14:38","female","Summer_vacation","Disconnection"
34,27,"ashdod","11:39","male","Holidays","Service"
47,12,"karmel","19:04","male","Holidays","Service"
24,9,"ntanya","9:57","male","Summer_vacation","Disconnection"
36,20,"telaviv","22:37","female","Normal_days","joining"
33,4,"bat-yam","5:13","female","Normal_days","joining"
35,20,"telaviv","12:20","female","Normal_days","Disconnection"
37,9,"telaviv","9:23","female","Holidays","Service"
31,24,"hedera","20:10","male","Holidays","Disconnection"
40,18,"ashdod","17:27","female","Normal_days","complaint"
28,3,"hedera","10:32","female","Normal_days","Service"
37,5,"karmel","16:27","male","Normal_days","joining"
20,26,"ariel","2:56","female","Normal_days","Disconnection"
45,26,"karmel","9:22","female","Holidays","joining"
27,27,"ariel","6:12","male","Holidays","Disconnection"
41,1,"jatt","0:56","male","Summer_vacation","Service"
22,11,"ntanya","21:30","male","Holidays","joining"
28,9,"qara","0:15","male","Summer_vacation","joining"
30,16,"ashklon","18:27","male","Holidays","Service"
43,6,"ashklon","11:39","male","Normal_days","Disconnection"
31,12,"telaviv","19:24","female","Summer_vacation","Disconnection"
43,23,"hedera","12:04","male","Normal_days","Disconnection"
38,3,"ariel","0:32","female","Normal_days","joining"
21,7,"ntanya","18:55","male","Holidays","complaint"
45,11,"ashklon","12:40","female","Holidays","joining"
24,5,"ashklon","1:15","female","Summer_vacation","joining"
43,18,"hedera","11:08","female","Summer_vacation","joining"
21,30,"ashklon","15:22","male","Normal_days","complaint"
49,21,"ashklon","10:07","male","Normal_days","Service"
35,7,"ashklon","17:05","female","Summer_vacation","complaint"
44,10,"jatt","3:26","male","Summer_vacation","Disconnection"
26,22,"ariel","5:46","female","Summer_vacation","joining"
24,29,"telaviv","6:11","male","Holidays","Disconnection"
31,1,"qara","4:12","male","Normal_days","complaint"
35,25,"bat-yam","14:06","male","Holidays","Disconnection"
40,9,"ashdod","18:58","male","Holidays","joining"
39,1,"ariel","12:27","female","Holidays","Service"
39,8,"hefa","0:41","female","Holidays","joining"
25,21,"telaviv","20:45","female","Holidays","Disconnection"
40,24,"bat-yam","14:53","female","Summer_vacation","complaint"
33,1,"hefa","13:48","male","Summer_vacation","Service"
29,13,"ashklon","4:48","male","Holidays","joining"
20,4,"ntanya","13:10","female","Normal_days","complaint"
23,19,"hefa","0:51","male","Normal_days","Service"
24,13,"hedera","12:00","female","Holidays","joining"
37,30,"telaviv","20:04","female","Normal_days","Disconnection"
34,26,"hefa","10:26","female","Holidays","joining"
46,17,"hedera","11:23","female","Normal_days","Disconnection"
46,26,"ntanya","20:49","male","Summer_vacation","Disconnection"
36,15,"telaviv","2:41","male","Normal_days","Disconnection"
25,24,"ashdod","13:10","male","Summer_vacation","Service"
38,9,"ntanya","11:02","male","Summer_vacation","Service"
44,9,"qara","12:25","female","Summer_vacation","complaint"
41,20,"hedera","8:16","female","Normal_days","Disconnection"
48,22,"ariel","1:03","male","Summer_vacation","Service"
41,9,"karmel","3:02","male","Summer_vacation","joining"
43,2,"hedera","2:33","male","Normal_days","joining"
29,26,"ariel","9:55","female","Summer_vacation","Disconnection"
20,10,"qara","23:48","female","Summer_vacation","complaint"
38,16,"ashklon","12:29","female","Holidays","complaint"
25,15,"telaviv","0:21","male","Normal_days","complaint"
30,21,"ariel","11:51","male","Normal_days","joining"
34,12,"qara","6:54","male","Summer_vacation","complaint"
38,11,"ashklon","2:25","female","Summer_vacation","Disconnection"
28,5,"hefa","0:25","male","Normal_days","joining"
39,15,"hefa","15:52","male","Normal_days","Disconnection"
20,12,"ariel","11:30","female","Summer_vacation","Disconnection"
47,5,"ashklon","12:07","female","Normal_days","complaint"
38,9,"karmel","10:00","female","Normal_days","complaint"
26,23,"ashdod","0:36","female","Summer_vacation","joining"
46,26,"karmel","6:29","male","Normal_days","Disconnection"
48,13,"ariel","23:54","male","Normal_days","Disconnection"
48,4,"qara","21:02","male","Summer_vacation","Disconnection"
26,30,"ashklon","22:42","male","Holidays","complaint"
49,6,"telaviv","22:21","male","Normal_days","Service"
44,19,"jatt","19:40","female","Normal_days","complaint"
32,16,"jatt","21:20","male","Holidays","Disconnection"
35,17,"karmel","22:12","female","Normal_days","Disconnection"
39,1,"ashdod","4:29","female","Summer_vacation","complaint"
23,20,"ariel","12:23","male","Summer_vacation","complaint"
44,3,"ashklon","14:44","male","Normal_days","Service"
28,17,"qara","1:01","male","Holidays","joining"
40,9,"hefa","22:09","male","Holidays","joining"
43,11,"ashklon","20:46","male","Holidays","Service"
32,5,"ntanya","8:41","male","Holidays","Disconnection"
37,17,"hefa","12:08","male","Normal_days","Disconnection"
23,19,"bat-yam","0:22","female","Holidays","joining"
27,28,"telaviv","13:01","female","Summer_vacation","complaint"
33,15,"jatt","10:30","male","Holidays","Service"
41,11,"karmel","21:03","female","Holidays","complaint"
32,3,"jatt","9:58","male","Normal_days","complaint"
43,22,"qara","2:05","male","Normal_days","joining"
38,12,"ntanya","20:38","female","Normal_days","Service"
35,18,"qara","9:30","male","Summer_vacation","Service"
41,14,"telaviv","23:54","female","Summer_vacation","Service"
23,5,"jatt","2:50","male","Summer_vacation","Disconnection"
48,17,"telaviv","8:41","male","Normal_days","Disconnection"
48,28,"qara","2:39","male","Summer_vacation","complaint"
28,17,"jatt","3:30","female","Summer_vacation","joining"
20,8,"karmel","6:37","female","Summer_vacation","complaint"
29,14,"ashklon","14:39","male","Holidays","Service"
38,3,"karmel","22:42","male","Normal_days","joining"
44,24,"ntanya","15:07","male","Holidays","Disconnection"
39,30,"jatt","1:53","female","Normal_days","Disconnection"
48,23,"jatt","21:13","male","Normal_days","complaint"
26,2,"jatt","9:21","male","Normal_days","Disconnection"
34,30,"bat-yam","23:30","female","Holidays","complaint"
31,28,"bat-yam","3:19","male","Holidays","Disconnection"
27,19,"qara","2:28","male","Holidays","joining"
35,12,"bat-yam","10:30","male","Summer_vacation","Disconnection"
25,15,"ashdod","6:44","male","Holidays","Service"
46,19,"ntanya","10:43","male","Holidays","Disconnection"
27,19,"bat-yam","23:14","male","Summer_vacation","Disconnection"
21,16,"ashklon","6:47","male","Summer_vacation","joining"
32,23,"hefa","7:56","female","Summer_vacation","complaint"
49,15,"ashdod","16:34","male","Summer_vacation","joining"
29,13,"jatt","8:18","female","Summer_vacation","complaint"
23,18,"bat-yam","17:44","male","Summer_vacation","complaint"
33,22,"ashklon","7:11","male","Normal_days","Disconnection"
49,14,"qara","1:50","female","Holidays","complaint"
48,10,"jatt","14:37","male","Holidays","Disconnection"
27,10,"karmel","21:50","male","Holidays","Disconnection"
46,4,"qara","22:34","male","Holidays","joining"
31,15,"hedera","17:07","female","Holidays","Disconnection"
42,3,"hefa","20:10","female","Holidays","complaint"
48,8,"ashklon","14:42","female","Summer_vacation","complaint"
49,1,"ntanya","10:06","female","Summer_vacation","complaint"
45,3,"hefa","2:16","male","Normal_days","joining"
45,18,"karmel","10:04","female","Normal_days","joining"
37,15,"ntanya","14:34","female","Holidays","Disconnection"
27,11,"ashklon","22:30","male","Summer_vacation","complaint"
20,4,"karmel","18:59","male","Summer_vacation","Disconnection"
43,8,"qara","2:50","female","Summer_vacation","complaint"
31,8,"hefa","18:52","male","Holidays","complaint"
47,10,"ariel","8:29","male","Holidays","complaint"
33,30,"telaviv","18:10","male","Summer_vacation","Service"
49,13,"ntanya","4:53","male","Summer_vacation","Disconnection"
24,1,"ntanya","22:46","female","Normal_days","joining"
31,25,"hefa","13:52","male","Summer_vacation","Disconnection"
37,12,"bat-yam","4:51","female","Holidays","Disconnection"
24,19,"karmel","21:44","female","Normal_days","Service"
36,1,"jatt","19:57","female","Normal_days","Disconnection"
27,15,"qara","12:30","male","Normal_days","Disconnection"
46,25,"ntanya","19:33","female","Normal_days","complaint"
30,26,"qara","21:11","male","Normal_days","Disconnection"
48,13,"ashdod","20:33","male","Summer_vacation","Disconnection"
33,5,"bat-yam","10:29","female","Summer_vacation","Disconnection"
44,26,"ariel","7:16","female","Normal_days","joining"
30,12,"telaviv","16:42","male","Holidays","joining"
35,5,"ntanya","7:37","female","Normal_days","complaint"
46,28,"bat-yam","3:25","female","Normal_days","Service"
33,14,"qara","1:37","female","Holidays","complaint"
47,18,"qara","7:40","male","Summer_vacation","complaint"
29,3,"karmel","1:06","female","Holidays","joining"
29,13,"bat-yam","16:33","female","Normal_days","Disconnection"
29,10,"karmel","23:42","female","Summer_vacation","complaint"
25,28,"ariel","14:10","male","Holidays","joining"
36,29,"jatt","23:13","male","Normal_days","Service"
29,30,"hedera","2:14","female","Summer_vacation","Disconnection"
40,28,"ashklon","1:22","female","Summer_vacation","joining"
36,10,"ashdod","10:00","male","Summer_vacation","Service"
43,19,"telaviv","9:19","male","Summer_vacation","Disconnection"
36,23,"ashklon","17:37","male","Summer_vacation","Service"
41,27,"karmel","14:46","female","Normal_days","joining"
46,1,"telaviv","22:42","male","Summer_vacation","Disconnection"
40,28,"karmel","19:19","female","Summer_vacation","joining"
30,21,"qara","17:55","male","Holidays","Service"
23,8,"karmel","21:41","female","Normal_days","complaint"
32,6,"ashdod","13:36","female","Summer_vacation","joining"
44,2,"ntanya","12:56","male","Normal_days","Disconnection"
33,2,"qara","12:00","female","Summer_vacation","complaint"
47,29,"bat-yam","9:51","male","Summer_vacation","Disconnection"
48,28,"qara","18:53","female","Holidays","joining"
49,14,"bat-yam","10:48","male","Summer_vacation","joining"
30,22,"ariel","11:01","male","Normal_days","Disconnection"
42,1,"karmel","2:42","female","Summer_vacation","Service"
21,29,"jatt","13:29","male","Normal_days","Disconnection"
30,10,"bat-yam","11:19","male","Holidays","Service"
43,14,"bat-yam","10:22","female","Normal_days","Disconnection"
28,10,"ariel","1:09","female","Summer_vacation","joining"
49,23,"ntanya","5:04","male","Normal_days","Disconnection"
22,27,"bat-yam","16:19","male","Holidays","Disconnection"
46,22,"ariel","16:20","female","Holidays","complaint"
40,21,"ariel","3:43","female","Normal_days","complaint"
32,21,"qara","11:57","male","Normal_days","complaint"
35,16,"qara","17:54","female","Normal_days","Service"
35,27,"ashdod","14:53","male","Normal_days","Disconnection"
41,21,"ashdod","20:35","female","Normal_days","Service"
20,25,"ariel","5:18","female","Normal_days","complaint"
29,14,"bat-yam","4:47","male","Holidays","joining"
37,29,"bat-yam","2:19","female","Normal_days","complaint"
30,21,"jatt","1:35","male","Holidays","joining"
21,16,"telaviv","19:34","male","Summer_vacation","Disconnection"
29,19,"hefa","6:54","female","Holidays","joining"
32,29,"bat-yam","8:16","male","Holidays","Disconnection"
36,6,"jatt","12:53","male","Normal_days","joining"
34,14,"ashklon","13:02","female","Holidays","Disconnection"
26,22,"qara","12:26","male","Normal_days","Disconnection"
22,18,"hefa","0:13","male","Normal_days","joining"
45,23,"hedera","6:43","female","Holidays","Service"
47,2,"hedera","3:40","male","Holidays","Service"
38,7,"hefa","18:34","male","Summer_vacation","Disconnection"
24,9,"telaviv","9:30","female","Normal_days","joining"
33,23,"ntanya","6:47","female","Holidays","Disconnection"
40,4,"karmel","17:46","female","Summer_vacation","Service"
36,14,"ashklon","11:04","female","Holidays","Service"
20,17,"qara","20:32","female","Summer_vacation","Service"
26,16,"qara","3:19","male","Summer_vacation","Disconnection"
22,24,"jatt","4:02","female","Holidays","joining"
32,21,"ariel","14:11","male","Summer_vacation","Service"
36,16,"ashdod","2:37","female","Summer_vacation","Disconnection"
22,27,"karmel","13:52","female","Holidays","Service"
35,16,"ashklon","13:47","male","Normal_days","Service"
30,9,"hefa","3:43","female","Holidays","Service"
45,30,"telaviv","13:54","female","Summer_vacation","Disconnection"
25,6,"bat-yam","7:19","female","Normal_days","Disconnection"
26,9,"hefa","16:43","female","Normal_days","joining"
30,20,"telaviv","10:44","female","Holidays","joining"
25,20,"hefa","20:42","female","Normal_days","Disconnection"
25,21,"karmel","1:17","male","Summer_vacation","Service"
41,2,"telaviv","17:09","female","Summer_vacation","joining"
39,14,"jatt","17:11","female","Normal_days","complaint"
25,18,"telaviv","8:58","female","Normal_days","Service"
36,18,"telaviv","15:04","female","Normal_days","joining"
41,7,"qara","22:59","female","Holidays","complaint"
29,1,"telaviv","5:08","male","Holidays","Service"
46,26,"ariel","21:03","female","Holidays","complaint"
32,30,"hefa","22:59","female","Normal_days","complaint"
21,19,"ariel","15:53","male","Holidays","joining"
38,2,"hefa","8:49","male","Holidays","Service"
47,5,"ashklon","10:34","female","Normal_days","complaint"
22,3,"ashdod","17:22","female","Normal_days","joining"
49,10,"qara","5:19","male","Summer_vacation","joining"
37,23,"hedera","10:34","male","Normal_days","Disconnection"
29,29,"ariel","20:24","male","Normal_days","joining"
37,4,"bat-yam","17:45","male","Holidays","Disconnection"
28,21,"ntanya","14:55","female","Normal_days","complaint"
49,29,"bat-yam","11:43","male","Summer_vacation","Disconnection"
23,21,"hefa","16:08","male","Normal_days","Disconnection"
36,10,"ashdod","20:19","male","Summer_vacation","Service"
23,17,"karmel","12:56","female","Normal_days","complaint"
48,26,"ashklon","10:58","female","Holidays","Disconnection"
28,16,"qara","5:52","female","Summer_vacation","Disconnection"
40,23,"ariel","17:19","female","Holidays","Disconnection"
29,12,"ashklon","20:22","female","Normal_days","joining"
24,16,"jatt","21:12","female","Normal_days","joining"
48,14,"ariel","10:28","female","Holidays","complaint"
37,15,"hedera","2:16","male","Summer_vacation","Service"
27,29,"karmel","17:37","female","Holidays","joining"
35,7,"ntanya","15:19","male","Holidays","Disconnection"
23,15,"ashklon","11:27","female","Summer_vacation","joining"
29,30,"ashklon","23:33","male","Summer_vacation","complaint"
48,25,"ariel","13:00","female","Summer_vacation","Service"
27,14,"jatt","9:20","male","Normal_days","Service"
37,3,"ariel","15:53","male","Holidays","Service"
26,27,"hedera","5:16","female","Normal_days","complaint"
44,14,"qara","21:23","male","Holidays","Disconnection"
37,13,"ashdod","13:08","female","Summer_vacation","Disconnection"
35,9,"qara","10:30","male","Summer_vacation","Service"
41,17,"ashklon","10:21","female","Summer_vacation","Service"
42,28,"bat-yam","9:38","male","Normal_days","Disconnection"
43,24,"ariel","7:07","male","Holidays","joining"
28,17,"hefa","18:19","male","Holidays","Disconnection"
41,18,"ashdod","15:38","female","Holidays","joining"
42,13,"hefa","8:57","female","Normal_days","Disconnection"
24,30,"ariel","20:57","male","Normal_days","Service"
35,14,"ashdod","23:23","female","Summer_vacation","Disconnection"
44,16,"hedera","10:24","male","Summer_vacation","Disconnection"
41,21,"bat-yam","12:16","female","Summer_vacation","complaint"
47,13,"hefa","17:01","female","Summer_vacation","Service"
39,26,"hefa","3:09","male","Normal_days","Disconnection"
29,23,"qara","15:40","female","Holidays","Service"
35,27,"bat-yam","3:22","male","Summer_vacation","Disconnection"
41,30,"hedera","20:42","female","Summer_vacation","Disconnection"
28,13,"ashklon","22:50","female","Normal_days","joining"
27,9,"ntanya","9:03","male","Summer_vacation","complaint"
40,28,"hedera","19:18","male","Normal_days","Disconnection"
41,7,"hefa","19:02","male","Normal_days","joining"
27,7,"jatt","20:33","male","Summer_vacation","Service"
29,17,"qara","16:58","male","Summer_vacation","Service"
44,30,"bat-yam","21:14","male","Holidays","Disconnection"
46,19,"hedera","6:06","male","Summer_vacation","Disconnection"
32,21,"qara","2:34","female","Normal_days","Disconnection"
25,7,"jatt","6:21","female","Normal_days","complaint"
23,19,"ashklon","16:07","female","Normal_days","Disconnection"
22,3,"ashdod","20:54","female","Holidays","joining"
40,22,"ashklon","10:22","male","Holidays","Disconnection"
27,11,"telaviv","11:08","male","Summer_vacation","Service"
40,18,"ashdod","1:24","female","Holidays","joining"
25,4,"jatt","8:48","female","Holidays","joining"
28,24,"telaviv","4:12","male","Holidays","Service"
32,10,"ariel","2:43","male","Normal_days","complaint"
33,14,"qara","8:27","female","Summer_vacation","complaint"
37,29,"telaviv","5:06","male","Holidays","Disconnection"
46,5,"telaviv","10:21","female","Holidays","Disconnection"
27,10,"bat-yam","16:33","male","Holidays","Disconnection"
32,2,"qara","23:50","female","Summer_vacation","joining"
33,29,"qara","10:44","male","Normal_days","Service"
43,13,"qara","10:02","male","Normal_days","Disconnection"
41,23,"hedera","5:04","female","Normal_days","Service"
34,17,"jatt","19:18","female","Summer_vacation","joining"
37,15,"ashklon","2:50","female","Holidays","Disconnection"
34,11,"bat-yam","1:50","female","Summer_vacation","joining"
48,9,"ashklon","14:16","male","Summer_vacation","joining"
32,12,"karmel","1:50","female","Normal_days","complaint"
26,1,"qara","13:35","female","Summer_vacation","Service"
23,13,"telaviv","7:07","female","Holidays","joining"
37,22,"ashklon","16:45","male","Holidays","joining"
48,28,"hefa","20:09","male","Normal_days","Disconnection"
40,8,"karmel","8:53","male","Holidays","complaint"
48,28,"hefa","4:13","female","Summer_vacation","Disconnection"
37,24,"ashdod","20:53","male","Holidays","Service"
37,9,"karmel","22:31","male","Summer_vacation","joining"
46,11,"ariel","20:09","female","Holidays","joining"
35,16,"bat-yam","4:31","female","Summer_vacation","joining"
22,5,"bat-yam","11:05","male","Holidays","complaint"
28,3,"bat-yam","13:40","male","Normal_days","joining"
48,26,"ntanya","19:31","male","Summer_vacation","Disconnection"
46,6,"ntanya","2:07","female","Normal_days","Service"
24,20,"ariel","4:12","female","Holidays","complaint"
40,11,"jatt","11:24","female","Summer_vacation","complaint"
49,22,"ashklon","8:58","female","Summer_vacation","joining"
49,5,"bat-yam","0:36","male","Holidays","complaint"
24,14,"qara","16:29","female","Summer_vacation","complaint"
21,27,"hefa","5:16","male","Holidays","Service"
46,8,"ashklon","13:05","female","Normal_days","complaint"
45,10,"hedera","23:54","female","Normal_days","Service"
36,18,"ntanya","11:22","female","Normal_days","Disconnection"
41,23,"telaviv","21:54","female","Normal_days","complaint"
26,16,"bat-yam","8:53","male","Holidays","Disconnection"
28,29,"hedera","12:57","female","Holidays","complaint"
41,11,"ashdod","11:44","female","Holidays","complaint"
21,29,"ariel","10:51","female","Holidays","complaint"
44,21,"ashklon","14:44","male","Summer_vacation","Service"
45,29,"bat-yam","11:15","male","Normal_days","Disconnection"
45,27,"ashklon","15:13","female","Summer_vacation","Disconnection"
35,24,"ashklon","10:38","male","Holidays","Service"
23,12,"jatt","5:02","male","Holidays","complaint"
35,18,"telaviv","13:43","male","Summer_vacation","Service"
29,27,"qara","0:17","female","Summer_vacation","complaint"
44,25,"ariel","9:05","female","Normal_days","joining"
33,10,"karmel","17:40","female","Holidays","complaint"
38,6,"jatt","13:39","female","Normal_days","complaint"
21,12,"telaviv","3:50","female","Holidays","joining"
37,6,"ariel","14:06","male","Normal_days","Disconnection"
31,14,"telaviv","19:49","female","Normal_days","joining"
39,1,"karmel","8:57","female","Summer_vacation","Disconnection"
20,2,"hefa","16:48","male","Holidays","Disconnection"
23,19,"ashklon","16:36","male","Holidays","Service"
39,15,"hefa","14:53","female","Summer_vacation","Disconnection"
21,22,"qara","21:09","female","Holidays","Service"
42,21,"karmel","12:46","male","Summer_vacation","joining"
20,2,"hefa","5:38","female","Normal_days","Disconnection"
39,4,"ashklon","18:56","female","Holidays","Service"
38,27,"ashdod","7:47","male","Holidays","Disconnection"
30,7,"ariel","11:24","male","Summer_vacation","Service"
47,29,"ashdod","14:52","female","Normal_days","Service"
24,24,"telaviv","1:41","male","Summer_vacation","joining"
